Truck_ID,status,ownership_type,date_acquired,purchase_amount,monthly_payment,lender,make,model,fair_market_value,down_payment,interest_rate,balloon_payment,months_owned,total_maintenance_cost,avg_maintenance_cost,maintenance_count,total_company_covered,first_maintenance,last_maintenance,maintenance_last_90days,total_miles_driven,avg_weekly_miles,current_odometer,total_trip_distance,avg_trip_distance,total_jumps,total_trips,total_stub_charges,avg_stub_charge,stub_count,truck_price,truck_horsepower,number_of_speed,remaining_loan,truck_year,purchase_odometer,missing_usage_data,current_equity,equity_ratio,total_invested,depreciation_amount,depreciation_rate,monthly_depreciation,monthly_burn_rate,equity_velocity,roi_ratio,financial_health_score,cost_per_mile,revenue_per_mile,maintenance_frequency,utilization_rate,truck_age,miles_per_year,operational_efficiency_score,age_risk,mileage_risk,maintenance_trend_risk,financial_risk,risk_score,risk_category,days_since_last_maintenance,predicted_monthly_maintenance,predicted_equity_6mo,months_to_breakeven,monthly_holding_cost,months_inactive,decision_flag
truck_0118,ACTIVE,Financed,2021-03-01,142900.0,2712.0,Capital Lending,Peterbilt,579,64506.0,36350.0,8.77,0.0,59.6,11974.2,855.3000000000001,14.0,11070.25,2024-06-28,2025-05-01,0.0,146634.73,2528.1850000000004,473812.0,214485.454090665,524.4143131801101,1.0,409.0,63300.0,1072.8813559322034,59.0,,,,106550.0,2022,1420.0,False,-42044.0,-65.1784330139832,154874.2,78394.0,54.8593421973408,1315.3355704697985,2912.9093959731545,-705.4362416107382,19.999406020800645,18.5,1.0561904400137676,0.4316849084797305,0.2348993288590604,123.01571308724833,4,36658.6825,72.7,0.19743336623889435,38.549570498040026,0.0,65.1784330139832,27.3,LOW,270.0,855.3000000000001,-46276.61744966443,inf,2912.9093959731545,0,SELL
truck_0138,ACTIVE,Financed,2021-03-01,147900.0,2712.0,Capital Lending,Peterbilt,579,62580.0,36350.0,8.77,0.0,59.6,46179.170000000006,1399.368787878788,33.0,45729.170000000006,2024-06-08,2025-04-18,0.0,146923.86,2533.17,538709.0,139567.761783572,489.7114448546386,0.0,285.0,47100.0,798.3050847457627,59.0,,,,111550.0,2022,1397.0,False,-48970.0,-78.2518376478108,194079.17,85320.0,57.687626774847864,1431.5436241610737,3486.818288590604,-821.6442953020133,13.240960718005294,11.7,1.3209506611111363,0.3205742076201919,0.5536912751677853,123.25827181208054,4,36730.965,69.5,0.19743336623889435,43.82962139715466,0.0,78.2518376478108,32.3,LOW,283.0,1399.368787878788,-53899.86577181208,inf,3486.818288590604,0,SELL
truck_1031,INACTIVE,FMV lease,2021-04-01,154500.0,3934.55,Penske,International,LT 626,0.0,0.0,0.0,0.0,58.6,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,64900.0,510.0,12.0,154500.0,2022,19.5,False,-154500.0,,154500.0,154500.0,100.0,2636.518771331058,3934.55,-2636.518771331058,0.0,,0.0,0.0,0.0,0.0,4,0.0,20.0,0.19743336623889435,0.0,0.0,0.0,0.0,,,0.0,-170319.11262798635,inf,3934.55,3,INSPECT
truck_0415,INACTIVE,Operating lease,2021-04-01,154900.0,3263.13,Mack Financial Services,Mack,Anthem,0.0,29000.0,11.15,0.0,58.6,0.0,0.0,0.0,,,,,0.0,0.0,0.0,48068.139607064,528.2213143633406,0.0,91.0,25200.0,1050.0,24.0,,,,125900.0,2022,0.0,False,-125900.0,,154900.0,154900.0,100.0,2643.3447098976108,3263.13,-2148.4641638225257,7.280724134350648,,0.0,0.0,0.0,0.0,4,0.0,20.0,0.19743336623889435,0.0,0.0,0.0,0.0,,,0.0,-138790.78498293515,inf,3263.13,0,INSPECT
truck_0474,INACTIVE,FMV lease,2021-04-01,154500.0,3934.55,Penske,International,Cummings,0.0,0.0,0.0,0.0,58.6,0.0,0.0,0.0,,,,,0.0,0.0,0.0,54.55761654,54.55761654,0.0,1.0,0.0,0.0,2.0,,,,154500.0,2022,19.5,False,-154500.0,,154500.0,154500.0,100.0,2636.518771331058,3934.55,-2636.518771331058,0.0,,0.0,0.0,0.0,0.0,4,0.0,20.0,0.19743336623889435,0.0,0.0,0.0,0.0,,,0.0,-170319.11262798635,inf,3934.55,0,INSPECT
truck_0201,ACTIVE,Financed,2021-05-01,142900.0,2653.29,Ally Financial,Peterbilt,579,63018.0,14000.0,8.64,0.0,57.6,21719.14,987.2336363636364,22.0,20537.8,2024-05-24,2025-05-01,0.0,129527.62,2233.234827586207,523102.0,115849.012543358,419.74279907013766,0.0,276.0,56900.0,1053.7037037037037,54.0,,,,128900.0,2022,27.0,False,-65882.0,-104.54473325081723,164619.14,79882.0,55.90062981105668,1386.8402777777778,3030.358402777778,-1143.7847222222222,17.924159096423796,7.2,1.2709192062665864,0.439288547106787,0.3819444444444444,112.43717013888887,4,32381.905,71.2,0.19743336623889435,42.55982842702535,0.0,100.0,38.6,MEDIUM,270.0,987.2336363636364,-72744.70833333333,inf,3030.358402777778,0,SELL
truck_0168,ACTIVE,Financed,2021-06-01,144417.0,2385.0,PACCAR Financial Corp,Peterbilt,579,61456.0,14441.7,7.09,0.0,56.5,22912.02,1272.89,18.0,22695.42,2024-06-20,2025-04-22,0.0,119344.93,2057.671206896552,576364.0,174592.573851382,431.092774941684,0.0,405.0,57900.0,1015.7894736842104,57.0,,,,129975.3,2022,24512.0,False,-68519.3,-111.4932634730539,167329.02,82961.0,57.44545309762701,1468.3362831858408,2790.522477876106,-1212.7309734513274,19.16701160666829,7.6,1.4020622409347427,0.4851483846025131,0.3185840707964602,105.61498230088495,4,29836.2325,71.8,0.19743336623889435,46.89325017207741,0.0,100.0,39.4,MEDIUM,279.0,1272.89,-75795.68584070797,inf,2790.522477876106,0,SELL
truck_0050,ACTIVE,Financed,2021-06-01,144417.0,2385.0,PACCAR Financial Corp,Peterbilt,579,63051.0,14441.7,7.09,0.0,56.5,24709.79,748.7815151515151,33.0,22991.86,2024-07-13,2025-04-18,0.0,173314.84,2988.186896551724,522920.0,150866.560217916,546.6179718040435,1.0,276.0,69150.0,1152.5,60.0,,,,129975.3,2022,4033.0,False,-66924.3,-106.14312223438169,169126.79,81366.0,56.34101248467979,1440.1061946902655,2822.3414159292033,-1184.5008849557523,22.75574620435634,8.5,0.9758355949207812,0.3989848763094955,0.584070796460177,150.0,4,43328.71,69.2,0.19743336623889435,42.545020820146156,0.0,100.0,38.5,MEDIUM,283.0,748.7815151515151,-74031.30530973451,inf,2822.3414159292033,0,SELL
truck_0134,ACTIVE,Lease Purchase,2021-09-01,144000.0,4150.04,Envision Capital Group LLC,Peterbilt,579,62629.0,17764.04,18.96,0.0,53.5,41463.96,1594.7676923076922,26.0,40242.91,2024-07-09,2025-04-28,0.0,147039.1,2535.1568965517245,532438.0,142311.777975161,482.412806695461,6.0,295.0,63200.0,1170.3703703703704,54.0,,,,126235.95999999999,2022,1266.0,False,-63606.95999999999,-101.56151303709142,185463.96,81371.0,56.50763888888889,1520.9532710280373,4925.067289719626,-1188.9151401869158,15.509541189979364,3.4,1.2613240967878612,0.42981764714283477,0.48598130841121495,137.41971962616824,4,36759.775,70.1,0.19743336623889435,43.31940984364143,0.0,100.0,38.7,MEDIUM,273.0,1594.7676923076922,-70740.45084112149,inf,4925.067289719626,0,SELL
truck_0159,INACTIVE,Operating lease,2021-11-01,165360.0,4865.0,Transchicago,Freightliner,Cascadia,0.0,0.0,0.0,0.0,51.4,0.0,0.0,0.0,,,,,0.0,0.0,0.0,5366.62412015,487.8749200136363,0.0,11.0,16500.0,1100.0,15.0,,,,165360.0,2022,0.0,False,-165360.0,,165360.0,165360.0,100.0,3217.1206225680935,4865.0,-3217.1206225680935,3.9718743154534795,,0.0,0.0,0.0,0.0,4,0.0,20.0,0.19743336623889435,0.0,0.0,0.0,0.0,,,0.0,-184662.72373540857,inf,4865.0,0,INSPECT
